word,count
other,1147344
after,1132554
order,1112519
never,986624
over,897438
experience,877859
amazing,864645
going,749660
better,704893
ever,688797
everything,674755
another,569147
being,547353
location,534258
something,510018
dinner,505628
super,488220
customer,481324
looking,453338
server,427008
beer,419666
thing,411374
quality,390193
nothing,385512
flavor,383189
burger,365994
however,355028
anything,340663
business,339116
coming,334697
selection,332861
getting,332528
manager,328401
during,300042
parking,294169
having,281222
waiting,278375
water,272422
owner,262450
later,255719
trying,255219
door,238116
eating,234262
dining,231593
city,223408
bring,217921
seating,214569
working,209704
waiter,198278
making,191867
