name,city,state,stars,city_avg,rating_differential,review_count
Greyhound Bus Lines,Santa Barbara,CA,1.0,4.003434335941846,-3.0034343359418463,20
DIRECTV,Santa Barbara,CA,1.0,4.003434335941846,-3.0034343359418463,26
Infinity Rentals,Santa Barbara,CA,1.0,4.003434335941846,-3.0034343359418463,25
McDonald's,New Orleans,LA,1.0,3.944760903405952,-2.944760903405952,176
Family Inns of America,New Orleans,LA,1.0,3.944760903405952,-2.944760903405952,20
Weed World Candies,New Orleans,LA,1.0,3.944760903405952,-2.944760903405952,23
Huntsman farms,Kennett Square,PA,1.0,3.9262171152101604,-2.9262171152101604,20
Budget Inn,Saint Petersburg,FL,1.0,3.871329539838037,-2.871329539838037,26
First Advantage Corporation,Saint Petersburg,FL,1.0,3.871329539838037,-2.871329539838037,102
KFC,Saint Petersburg,FL,1.0,3.871329539838037,-2.871329539838037,21
GA Foods,Saint Petersburg,FL,1.0,3.871329539838037,-2.871329539838037,25
American Strategic Insurance,Saint Petersburg,FL,1.0,3.871329539838037,-2.871329539838037,47
Roaman's,Indianapolis,IN,1.0,3.823646086049645,-2.823646086049645,30
Budget Indianapolis Airport Rental Car,Indianapolis,IN,1.0,3.823646086049645,-2.823646086049645,32
Collegiate Housing Services,Indianapolis,IN,1.0,3.823646086049645,-2.823646086049645,27
Clarion Hotel Indianapolis Airport,Indianapolis,IN,1.0,3.823646086049645,-2.823646086049645,22
Progress Residential,Indianapolis,IN,1.0,3.823646086049645,-2.823646086049645,35
International Medical Group,Indianapolis,IN,1.0,3.823646086049645,-2.823646086049645,129
Assurant,Indianapolis,IN,1.0,3.823646086049645,-2.823646086049645,74
XFINITY,Indianapolis,IN,1.0,3.823646086049645,-2.823646086049645,72
