business_id,name,city,review_count,total_checkins,conversion_rate
-QI8Qi8XWH3D8y8ethnajA,Philadelphia International Airport - PHL,Philadelphia,2149,52144,24.26
FEXhWNCMkv22qG04E83Qjg,Café Du Monde,New Orleans,1880,40109,21.33
Eb1XmmLWyt_way5NNZ7-Pw,Louis Armstrong New Orleans International Airport  MSY,Kenner,1789,37562,21.0
c_4c5rJECZSfNgFj7frwHQ,Tampa International Airport,Tampa,1849,37518,20.29
4i4kmYm9wgSNyF1b6gKphg,Nashville International Airport - BNA,Nashville,949,31168,32.84
8O35ji_yOMVJmZ6bl96yhQ,St. Louis Lambert International Airport - STL,Saint Louis,862,29606,34.35
VQcCL9PiNL_wkGf-uF3fjg,Royal House,New Orleans,5070,28927,5.71
ac1AeYqs8Z4_e2X5M3if2A,Oceana Grill,New Orleans,7400,21542,2.91
QTbahs-GVuWYL5yfdjH34A,Indianapolis International Airport - IND,Indianapolis,947,21487,22.69
ytynqOUb3hjKeJfRj5Tshw,Reading Terminal Market,Philadelphia,5721,18615,3.25
_ab50qdWOk0DdB6XOrBitw,Acme Oyster House,New Orleans,7568,15205,2.01
h0wHeh0hTt6Us4W-1SHQOw,Reno-Tahoe International Airport,Reno,583,13420,23.02
onp9X_9RRAEzA-yqdiSOcA,The Jug Handle Inn,Cinnaminson,604,13244,21.93
wz8ZPfySQczcPgSyd33-HQ,Grand Sierra Resort and Casino,Reno,3345,10478,3.13
oBNrLz4EDhiscSlbOl8uAw,Ruby Slipper - New Orleans,New Orleans,5193,10209,1.97
6Ty-KKWq6hLZYW8DWEHYvg,Pat O'Brien’s,New Orleans,2367,10135,4.28
Aa0EldaVchavAAWL1DIJCw,Tucson International Airport - TUS,Tucson,415,10089,24.31
Xq-8-I0U8Artr7d70SjX-g,30th Street Station,Philadelphia,381,10063,26.41
qb28j-FNX1_6xm7u372TZA,Gumbo Shop,New Orleans,3902,9574,2.45
U4X-tzwvTzW8uWxs2KIPtg,The Original Pierre Maspero's,New Orleans,1886,9464,5.02
GBTPC53ZrG1ZBY3DT8Mbcw,Luke,New Orleans,4554,9390,2.06
iSRTaT9WngzB8JJ2YKJUig,Mother's Restaurant,New Orleans,5185,9034,1.74
gTC8IQ_i8zXytWSly3Ttvg,Cochon Butcher,New Orleans,3837,8855,2.31
6a4gLLFSgr-Q6CZXDLzBGQ,Cochon,New Orleans,4421,8503,1.92
qclZoDz3sjT7v5xOSj5P2Q,Lafitte's Blacksmith Shop Bar,New Orleans,1599,8092,5.06
PY9GRfzr4nTZeINf346QOw,Peppermill Reno,Reno,2486,7887,3.17
GXFMD0Z4jEVZBCsbPf4CTQ,Hattie B’s Hot Chicken - Nashville,Nashville,6093,7848,1.29
mcr1lAEdvGLMJhuPwI3I2A,101 Taiwanese Cuisine,Reno,1145,7739,6.76
i1UAowqVH1cCkXudBRDwdA,Boise Airport,Boise,373,7639,20.48
ld_H5-FpZOWm_tkzwkPYQQ,Silver Legacy Resort Casino,Reno,1534,7515,4.9
PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,Philadelphia,4250,7264,1.71
_C7QiQQc47AOEv4PE3Kong,Commander's Palace,New Orleans,4876,7261,1.49
VaO-VW3e1kARkU9bP1E7Fw,Felix's Restaurant & Oyster Bar,New Orleans,3966,7146,1.8
dGUyXgFW1WSYMgRypKaYew,The Row,Nashville,1450,7118,4.91
QaOTMn7BVBx3xXrjRlVnCw,Busch Stadium,Saint Louis,508,7038,13.85
QHWYlmVbLC3K6eglWoHVvA,Datz,Tampa,3260,6820,2.09
U3grYFIeu6RgAAQgdriHww,Brophy Bros - Santa Barbara,Santa Barbara,2940,6528,2.22
Y2Pfil51rNvTd_lFHwzb_g,Cafe Beignet on Royal Street,New Orleans,2688,6459,2.4
AGlh4ZDv6jnoiYfz7At9mw,Dim Sum Garden,Philadelphia,2672,6377,2.39
ta5Oi3sezvn4H299MbtE8Q,The Carousel Bar & Lounge,New Orleans,1390,6365,4.58
yPSejq3_erxo9zdVYTBnZA,Los Agaves,Santa Barbara,3834,6356,1.66
VVH6k9-ycttH3TV_lk5WfQ,Willie Mae's Scotch House,New Orleans,3582,6326,1.77
BbnL_wJLB-EHvFx0dXuAjg,Olde Nola Cookery,New Orleans,1318,6279,4.76
I_3LMZ_1m2mzR0oLIOePIg,Pappy's Smokehouse,Saint Louis,3999,6178,1.54
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,Santa Barbara,2404,6148,2.56
gGyqnAlpFrka_qzpO7j4lQ,Citizens Bank Park,Philadelphia,515,5905,11.47
XScJI9exHgC0u_c3vmm1vQ,Harrah's New Orleans,New Orleans,691,5796,8.39
EagkHaaC-kUozD3MPzbRIw,Stanley,New Orleans,2406,5678,2.36
