name,city,state,stars,city_avg,rating_differential,review_count
A'Dello Vineyard & Winery,Perkiomenville,PA,5.0,2.92274678111588,2.07725321888412,25
Prestige Electronics,Bridgeton,MO,5.0,3.0657527881040894,1.9342472118959106,26
Esther’s Persian Cafe,Bridgeton,MO,5.0,3.0657527881040894,1.9342472118959106,22
Epidedmy Skin Care,Philadephia,PA,4.5,2.5700934579439254,1.9299065420560746,49
Karla's Kitchen,Flourtown,PA,5.0,3.078503688092729,1.921496311907271,23
Usha's Alteration & Tailoring,Fenton,MO,5.0,3.10630464795214,1.8936953520478599,31
Action Wheels,Deptford,NJ,5.0,3.1216179283957364,1.8783820716042636,28
Napoletano Brothers,Springfield,PA,5.0,3.165834719911259,1.8341652800887411,30
Aji Sushi,Warrington Township,PA,5.0,3.173469387755102,1.8265306122448979,24
The Water Ice Factory,Magnolia,NJ,5.0,3.179365079365079,1.8206349206349208,25
Thorndale Cleaners,Thorndale,PA,5.0,3.185673892554194,1.814326107445806,20
Expedition Escape - Escape Room,Montgomeryville,PA,5.0,3.1940719830628086,1.8059280169371914,29
Anthony's Barber Shop,Langhorne,PA,5.0,3.2073369565217393,1.7926630434782607,44
The Happy Mixer Gluten Free Bakery,Langhorne,PA,5.0,3.2073369565217393,1.7926630434782607,50
Smokin Moe's,Langhorne,PA,5.0,3.2073369565217393,1.7926630434782607,36
Galbiya,Springfield,TN,5.0,3.2246376811594204,1.7753623188405796,26
Love My Doggy Day Care,Plymouth Meeting,PA,5.0,3.2399853890174115,1.7600146109825885,32
NolaNica,Kenner,LA,5.0,3.2411044417767108,1.7588955582232892,152
Mike's Livery Service,Kenner,LA,5.0,3.2411044417767108,1.7588955582232892,25
Automotive Services,Kenner,LA,5.0,3.2411044417767108,1.7588955582232892,22
