checkin_year,checkin_month,checkin_count,previous_month_count,mom_growth
2010,1,47,null,0.0
2010,2,120,47,155.32
2010,3,196,120,63.33
2010,4,182,196,-7.14
2010,5,245,182,34.62
2010,6,277,245,13.06
2010,7,567,277,104.69
2010,8,710,567,25.22
2010,9,754,710,6.2
2010,10,781,754,3.58
2010,11,751,781,-3.84
2010,12,835,751,11.19
2011,1,1061,835,27.07
2011,2,1067,1061,0.57
2011,3,1721,1067,61.29
2011,4,1862,1721,8.19
2011,5,2004,1862,7.63
2011,6,2128,2004,6.19
2011,7,2125,2128,-0.14
2011,8,1948,2125,-8.33
2011,9,1896,1948,-2.67
2011,10,1897,1896,0.05
2011,11,1799,1897,-5.17
2011,12,1958,1799,8.84
2012,1,1967,1958,0.46
2012,2,2048,1967,4.12
2012,3,2240,2048,9.38
2012,4,2414,2240,7.77
2012,5,2620,2414,8.53
2012,6,2725,2620,4.01
2012,7,2585,2725,-5.14
2012,8,2950,2585,14.12
2012,9,2766,2950,-6.24
2012,10,2355,2766,-14.86
2012,11,2485,2355,5.52
2012,12,2645,2485,6.44
2013,1,2559,2645,-3.25
2013,2,2504,2559,-2.15
2013,3,3156,2504,26.04
2013,4,3161,3156,0.16
2013,5,3183,3161,0.7
2013,6,3074,3183,-3.42
2013,7,3045,3074,-0.94
2013,8,3421,3045,12.35
2013,9,3200,3421,-6.46
2013,10,2898,3200,-9.44
2013,11,2717,2898,-6.25
2013,12,2583,2717,-4.93
2014,1,2508,2583,-2.9
2014,2,2449,2508,-2.35
2014,3,3146,2449,28.46
2014,4,3140,3146,-0.19
2014,5,3717,3140,18.38
2014,6,3345,3717,-10.01
2014,7,3169,3345,-5.26
2014,8,3637,3169,14.77
2014,9,3124,3637,-14.11
2014,10,3060,3124,-2.05
2014,11,2863,3060,-6.44
2014,12,2812,2863,-1.78
2015,1,2626,2812,-6.61
2015,2,2327,2626,-11.39
2015,3,3048,2327,30.98
2015,4,3098,3048,1.64
2015,5,3576,3098,15.43
2015,6,3132,3576,-12.42
2015,7,3401,3132,8.59
2015,8,3410,3401,0.26
2015,9,2954,3410,-13.37
2015,10,3086,2954,4.47
2015,11,2871,3086,-6.97
2015,12,2823,2871,-1.67
2016,1,2618,2823,-7.26
2016,2,2400,2618,-8.33
2016,3,2718,2400,13.25
2016,4,2831,2718,4.16
2016,5,2933,2831,3.6
2016,6,2787,2933,-4.98
2016,7,3069,2787,10.12
2016,8,2720,3069,-11.37
2016,9,2717,2720,-0.11
2016,10,2589,2717,-4.71
2016,11,2218,2589,-14.33
2016,12,2160,2218,-2.61
2017,1,1941,2160,-10.14
2017,2,2109,1941,8.66
2017,3,2262,2109,7.25
2017,4,2333,2262,3.14
2017,5,2445,2333,4.8
2017,6,2445,2445,0.0
2017,7,2596,2445,6.18
2017,8,2227,2596,-14.21
2017,9,2181,2227,-2.07
2017,10,2018,2181,-7.47
2017,11,1868,2018,-7.43
2017,12,1717,1868,-8.08
2018,1,1591,1717,-7.34
2018,2,1540,1591,-3.21
2018,3,1957,1540,27.08
2018,4,1800,1957,-8.02
2018,5,2017,1800,12.06
2018,6,1921,2017,-4.76
2018,7,1971,1921,2.6
2018,8,1835,1971,-6.9
2018,9,1840,1835,0.27
2018,10,1655,1840,-10.05
2018,11,1493,1655,-9.79
2018,12,1507,1493,0.94
2019,1,1300,1507,-13.74
2019,2,1282,1300,-1.38
2019,3,1656,1282,29.17
2019,4,1511,1656,-8.76
2019,5,1845,1511,22.1
2019,6,1722,1845,-6.67
2019,7,1708,1722,-0.81
2019,8,1598,1708,-6.44
2019,9,1532,1598,-4.13
2019,10,1407,1532,-8.16
2019,11,1332,1407,-5.33
2019,12,1316,1332,-1.2
2020,1,1221,1316,-7.22
2020,2,1264,1221,3.52
2020,3,594,1264,-53.01
2020,4,68,594,-88.55
2020,5,95,68,39.71
2020,6,179,95,88.42
2020,7,298,179,66.48
2020,8,322,298,8.05
2020,9,426,322,32.3
2020,10,424,426,-0.47
2020,11,299,424,-29.48
2020,12,257,299,-14.05
2021,1,238,257,-7.39
2021,2,191,238,-19.75
2021,3,320,191,67.54
2021,4,406,320,26.88
2021,5,451,406,11.08
2021,6,570,451,26.39
2021,7,674,570,18.25
2021,8,636,674,-5.64
2021,9,602,636,-5.35
2021,10,619,602,2.82
2021,11,480,619,-22.46
2021,12,490,480,2.08
2022,1,207,490,-57.76
