name,city,review_count,total_checkins,conversion_rate
Benjamin Franklin Bridge,Philadelphia,95,4968,52.29
The University of Arizona,Tucson,88,4167,47.35
Lakeside Shopping Center,Metairie,99,4302,43.45
St. Louis Lambert International Airport - STL,Saint Louis,862,29606,34.35
City of New Orleans,New Orleans,143,4859,33.98
Nashville International Airport - BNA,Nashville,949,31168,32.84
30th Street Station,Philadelphia,381,10063,26.41
Tucson International Airport - TUS,Tucson,415,10089,24.31
Philadelphia International Airport - PHL,Philadelphia,2149,52144,24.26
Indianapolis City Market,Indianapolis,227,5280,23.26
